%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1489487601284344308,0,1489487601334034446,map,odom,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0
1489487601298588406,0,1489487601297989693,odom,base_footprint,0.644059328755,0.0139373349844,0.0,0.0,0.0,0.746463999801,0.665425801274
1489487601318422437,0,1489487601317973495,odom,base_footprint,0.644059328755,0.0139373349844,0.0,0.0,0.0,0.746463999801,0.665425801274
1489487601334174513,0,1489487601384009957,map,odom,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0
1489487601339140928,0,1489487601338897639,odom,base_footprint,0.644059328755,0.0139373349844,0.0,0.0,0.0,0.746463999801,0.665425801274
1489487601339259813,0,1489487601338924075,base_link,wheel_left_link,0.0,0.115,0.025,0.106855030099,0.698986410841,0.698986410844,-0.1068550301,0,1489487601338924075,base_link,wheel_right_link,0.0,-0.115,0.025,0.475842483717,0.523042953004,0.523042953007,-0.475842483719
1489487601358153921,0,1489487601357878399,odom,base_footprint,0.644059328755,0.0139373349844,0.0,0.0,0.0,0.746463999801,0.665425801274
1489487601379439349,0,1489487601378920015,odom,base_footprint,0.644059328755,0.0139373349844,0.0,0.0,0.0,0.746463999801,0.665425801274
1489487601384324802,0,1489487601434026497,map,odom,-0.0,-0.0,-0.0,0.0,0.0,0.0,1.0
1489487601388223475,0,1489487601887820724,base_footprint,base_link,0.0,0.0,0.0102,0.0,0.0,0.0,1.0,0,1489487601887829292,camera_rgb_frame,camera_depth_frame,0.0,0.025,0.0,0.0,0.0,0.0,1.0,0,1489487601887832992,camera_depth_frame,camera_depth_optical_frame,0.0,0.0,0.0,-0.5,0.499999999998,-0.5,0.500000000002,0,1489487601887836304,camera_rgb_frame,camera_link,-0.031,0.0125,-0.016,0.0,0.0,0.0,1.0,0,1489487601887837831,base_link,camera_rgb_frame,-0.087,-0.0125,0.287,0.0,0.0,0.0,1.0,0,1489487601887840918,camera_rgb_frame,camera_rgb_optical_frame,0.0,0.0,0.0,-0.5,0.499999999998,-0.5,0.500000000002,0,1489487601887842446,base_link,caster_back_link,-0.135,0.0,0.009,-0.707106781185,0.0,0.0,0.707106781188,0,1489487601887843906,base_link,caster_front_link,0.115,0.0,0.007,-0.707106781185,0.0,0.0,0.707106781188,0,1489487601887845718,base_link,cliff_sensor_front_link,0.156,0.0,0.0214,0.0,0.707106781185,0.0,0.707106781188,0,1489487601887857677,base_link,cliff_sensor_left_link,0.08734,0.13601,0.0214,0.0,0.707106781185,0.0,0.707106781188,0,1489487601887858977,base_link,cliff_sensor_right_link,0.085,-0.13601,0.0214,0.0,0.707106781185,0.0,0.707106781188,0,1489487601887860163,base_link,gyro_link,0.056,0.062,0.0202,0.0,0.0,0.0,1.0,0,1489487601887861562,base_link,plate_bottom_link,0.02364,0.0,0.1306,0.0,0.0,0.0,1.0,0,1489487601887863271,base_link,plate_middle_link,-0.01364,0.0,0.1874,0.0,0.0,0.0,1.0,0,1489487601887864457,base_link,plate_top_link,-0.01364,0.0,0.3966,0.0,0.0,0.0,1.0,0,1489487601887865740,base_link,pole_bottom_0_link,0.12,0.082,0.1028,0.0,0.0,0.0,1.0,0,1489487601887867336,base_link,pole_bottom_1_link,0.055,0.12,0.1028,0.0,0.0,0.0,1.0,0,1489487601887872404,base_link,pole_bottom_2_link,-0.055,0.12,0.1028,0.0,0.0,0.0,1.0,0,1489487601887873951,base_link,pole_bottom_3_link,0.12,-0.082,0.1028,0.0,0.0,0.0,1.0,0,1489487601887875102,base_link,pole_bottom_4_link,0.055,-0.12,0.1028,0.0,0.0,0.0,1.0,0,1489487601887876421,base_link,pole_bottom_5_link,-0.055,-0.12,0.1028,0.0,0.0,0.0,1.0,0,1489487601887877712,base_link,pole_kinect_0_link,-0.1024,0.098,0.2372,0.0,0.0,0.0,1.0,0,1489487601887878850,base_link,pole_kinect_1_link,-0.1024,-0.098,0.2372,0.0,0.0,0.0,1.0,0,1489487601887880146,base_link,pole_middle_0_link,0.0381,0.1505,0.164,0.0,0.0,0.0,1.0,0,1489487601887881509,base_link,pole_middle_1_link,0.0381,-0.1505,0.164,0.0,0.0,0.0,1.0,0,1489487601887882600,base_link,pole_middle_2_link,-0.0381,0.1505,0.164,0.0,0.0,0.0,1.0,0,1489487601887883807,base_link,pole_middle_3_link,-0.0381,-0.1505,0.164,0.0,0.0,0.0,1.0,0,1489487601887885021,base_link,pole_top_0_link,0.0381,0.1505,0.292,0.0,0.0,0.0,1.0,0,1489487601887886344,base_link,pole_top_1_link,0.0381,-0.1505,0.292,0.0,0.0,0.0,1.0,0,1489487601887887803,base_link,pole_top_2_link,-0.0381,0.1505,0.292,0.0,0.0,0.0,1.0,0,1489487601887889331,base_link,pole_top_3_link,-0.0381,-0.1505,0.292,0.0,0.0,0.0,1.0
